Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modMeleeClubBurningShaft,item_modifiers,mod,,,Clamidia Mod,,Brennender-Schaft-Mod,Modificación pozo de combustión,Modification de tige enflammée,Modifica dell'asta incandescente,バーニングシャフト改造パーツ,화염 자루 개조,Płonący drąg — modyfikacja,Modificação de Setas Flamejantes,Модификация «Пылающий прут»,Yanan Değnek Modu,燃烧杆模组,燃燒桿模組,Modificación pozo de combustión
modMeleeClubBurningShaftDesc,item_modifiers,mod,,,Wiped on the private parts of a zombie stripper, \nthis mod can both light the way and give enemies a terrible burning sensation.\nCan be installed in melee tools and weapons that have a long shaft or blade.,,"Ein Nahkampf-Gegenstand, der sowohl als Lichtquelle dienen, als auch Feinde in Brand setzen kann.\nKann an Nahkampfwerkzeugen und -waffen angebracht werden, die über einen langen Schaft oder eine Klinge verfügen.",Un objeto cuerpo a cuerpo puede duplicar la fuente de luz y prender a los enemigos en llamas.\nPuede instalarse en herramientas y armas cuerpo a cuerpo que tengan filos u hojas largas.,Un objet de mêlée qui sert à la fois à vous éclairer et à embraser vos ennemis.\nPeut être installé sur les armes et outils de mêlée ayant un long manche ou une longue lame.,Un oggetto da mischia può essere una fonte di luce e dare fuoco ai nemici allo stesso tempo.\nPuò essere installato negli strumenti utilizzabili come armi da mischia e nelle armi da mischia con asta lunga o lama.,近接用のアイテムが光源を兼ねるようになり、敵に火をつけることが可能になります。\n長いシャフトかブレードを持つ近接用ツールと武器に取り付けられます。,"조명 역할도 하고, 적에게 불을 붙이기도 하는 근접 아이템입니다.\n긴 자루와 날을 가진 근접 도구와 무기에 설치할 수 있습니다.","Broń biała, którą można rozświetlać mrok i podpalać wrogów.\nMożna zainstalować w narzędziach i broniach białych o długiej rękojeści lub długim ostrzu.",Um item de corpo a corpo que pode funcionar como fonte de luz e incendiar inimigos.\nPode ser instalado em ferramentas corpo a corpo e armas com uma lâmina ou empunhadura longa.,"Предмет для ближнего боя, может использоваться для освещения и для поджигания врагов.\nМожно установить на предметы для ближнего боя и оружие с длинным древком или клинком.",Işık olarak kullanabilen ve düşmanları yakan bir yakın dövüş silahı.\nUzun bir gövdesi veya bıçağı olan yakın dövüş aletlerine ve silahlarına takılabilir.,近战物品，既可作光源也可使敌人着火。\n可安装在带有长杆或刀刃的近战工具和武器上。,可兼作光源的近戰武器，可使敵人燃燒。\n可安裝在帶有長桿或刀刃的近戰工具和武器上。,Un objeto cuerpo a cuerpo puede duplicar la fuente de luz y prender a los enemigos en llamas.\nPuede instalarse en herramientas y armas cuerpo a cuerpo que tengan filos u hojas largas.
modMeleeClubBurningShaftSchematic,item_modifiers,Mod,,,Clamidia Mod Schematic,,Bauplan – Brennender-Schaft-Mod,Esquema de modificación pozo de combustión,Schéma de la modification de tige enflammée,Schema della modifica dell'asta incandescente.,改造パーツ設計図「バーニングシャフト」,화염 자루 개조 도면,"Płonący drąg — modyfikacja, schemat",Diagrama da Modificação de Setas Flamejantes,Схема модификации «Пылающий прут»,Yanan Değnek Modu Şeması,燃烧杆模组设计图,燃燒桿模組原理圖,Esquema de modificación pozo de combustión
buffEncumberedInvDesc,buffs,Buff,,,Moving becomes harder when you are carrying too many items in your inventory. Carry less or unlock more slots with a perk or other means.\n\nThe number is the number of items that are cucumbering you.,,"Wenn du zu viele Gegenstände in deinem Inventar trägst, wird es schwieriger, dich zu bewegen. Trage weniger oder schalte mit einer Eigenschaft oder anderen Mitteln weitere Slots frei.\n\nDie Zahl ist die Anzahl der Gegenstände, die dich überlasten.",Moverte se hace más complicado cuando llevas demasiados objetos en tu inventario. Lleva menos objetos o desbloquea más ranuras con un beneficio u otros medios.\n\nEl número es el número de objetos que hacen que te hacen sobreesforzarte.,Vos déplacements se compliquent lorsque vous transportez trop d'objets dans votre inventaire. Portez-en moins ou déverrouillez des emplacements supplémentaires avec un avantage ou d'autres moyens.\n\nLe nombre indique le nombre d'objets qui vous encombrent.,"Quando trasporti troppi oggetti dell'inventario, muoversi diventa difficile. Trasportane meno o sblocca altri slot con una capacità o in altri modi.\n\nIl numero rappresenta il numero di oggetti che ti sovraccaricano.",所持品にあるアイテムが多すぎると動作がしにくくなります。荷物を減らすか、特殊技能やその他の方法でスロットをアンロックしましょう。\n\n表示されている数字は、動作を阻害しているアイテムの数です。,인벤토리에 많은 아이템을 넣을수록 이동 속도가 느려집니다. 적은 짐을 옮기거나 특성이나 슬롯을 더 해제하여 이동 수단을 늘리세요.\n\n숫자는 현재 방해하는 아이템 수입니다.,"Gdy w ekwipunku masz za dużo przedmiotów, ciężej ci się poruszać. Noś mniej przedmiotów lub odblokuj więcej miejsca profitami lub innymi sposobami.\n\nPokazane jest tu liczba przedmiotów, które cię przeciążają.",É mais difícil de se movimentar com o inventário cheio demais. Carregue menos itens ou desbloqueie mais espaços com vantagens ou por outros meios.\n\nO número mostra a quantidade de itens que estão sobrecarregando você.,"Двигаться будет сложнее, если в инвентаре слишком много предметов. Уберите из инвентаря часть предметов или разблокируйте больше ячеек с помощью умений или других способов.\n\nЧисло означает количество предметов, которые вас перегружают.",Envanterinde çok fazla öğe varken hareket etmek daha zorlaşır. Daha az öğe taşı veya avantajlar ya da başka yollarla daha fazla yuva aç.\n\nFazla öğe taşıman seni ağırlaştırıyor.,物品栏物品太多时，移动会变得困难。携带更少物品，或通过技能点解锁更多槽位等。\n\n数值是使你负重增加的物品数。,當你的物品欄過載時，移動會變得艱難。用技能或其他方式攜帶更少物品或解鎖更多物品欄空間。\n\n該數字是拖慢你速度的物品件數。,Moverte se hace más complicado cuando llevas demasiados objetos en tu inventario. Lleva menos objetos o desbloquea más ranuras con un beneficio u otros medios.\n\nEl número es el número de objetos que hacen que te hacen sobreesforzarte.
buffEncumberedInvName,buffs,Buff,,,Cucumbered,,Überlastet,Sobreesfuerzo,Surchargé,Sovraccarico,阻害,방해받음,Przeciążenie,Sobrecarga,Перегрузка,Ağırlaştın,负重,受阻,Sobreesfuerzo
buffEncumberedInvTooltip,buffs,Buff,,,You are Cucumbered,,Du bist überlastet,Te estás sobreesforzando.,Vous êtes surchargé,Sei in sovraccarico,動きが阻害されています,방해를 받았습니다.,Masz zbyt dużo przedmiotów w ekwipunku,Você está com sobrecarga.,Вы перегружены,Ağırlaştın,你负重过多,你的速度被拖慢了。,Te estás sobreesforzando.
encumbranceTip,Journal Tip,,,,"If you carry too many items in your backpack (inventory) you can become cucumbered which lowers your movement speed. Items in your hotbar and worn clothing do not count.\nYour inventory shows a number of unlocked and locked slots symbolic for how many items you can carry in your inventory without being cucumbered. It is not necessary to place items on specific slots. Only the total amount of items in your backpack matters.\n\nThe Pack Mule perk as well as certain mods or drugs unlock more inventory slots, allowing you to carry more without being cucumbered.",,"Wenn du zu viele Gegenstände in deinem Rucksack (Inventar) hast, kannst du dich überbelasten und dich nur mehr langsam fortbewegen. Gegenstände in deiner Leiste und getragene Kleidung werden nicht gezählt.\nIn deinem Inventar siehst du eine Menge ge- und entsperrter Slots, die dir zeigen, wie viele Gegenstände du bis zur Überbelastung in deinem Inventar haben kannst. Es ist nicht notwendig, Gegenstände in bestimmte Slots zu geben. Es zählt nur die Gesamtmenge an Gegenständen in deinem Rucksack.\n\nDie Eigenschaft „Packesel“ und gewisse Mods und Medikamente schalten mehr Inventarslots frei, wodurch du mehr tragen kannst, bevor du überbelastet bist.","Si llevas muchos objetos en la mochila (inventario), puede que vayas sobrecargado, lo que reduce tu velocidad de movimiento. Los objetos en la barra de acceso rápido y la ropa que llevas puesta no cuenta.\nEl inventario muestra un número simbólico de ranuras desbloqueadas y bloqueadas de los objetos que puedes llevar en el inventario sin estar sobrecargado. No es necesario colocar objetos en ranuras específicas. Solo cuenta el número total de objetos en la mochila.\n\nEl beneficio de mula de carga y algunas modificaciones o drogas pueden desbloquear más ranuras del inventario, lo que te permite llevar más cosas sin estar sobrecargado.","Si vous transportez trop d'objets dans votre sac à dos (inventaire), vous pourriez être encombré, ce qui réduit votre vitesse de mouvement. Les objets sur votre barre d'équipement et les vêtements portés ne comptent pas.\nVotre inventaire indique un nombre d'emplacements verrouillés et déverrouillés qui représentent symboliquement combien d'objets vous pouvez transporter dans votre inventaire sans être encombré. Il n'est pas nécessaire de placer des objets dans des emplacements spécifiques. Seule la quantité totale d'objets dans votre sac à dos importe.\n\nL'avantage de la mule, ainsi que certaines modifications ou drogues peuvent déverrouiller davantage d'emplacements d'inventaire, ce qui vous permet de transporter plus d'objets sans être encombré.","Se trasporti troppi oggetti nello zaino (inventario), rischi di sovraccaricarti, riducendo la velocità di movimento. Gli articoli nella barra e i vestiti indossati non contano.\nIl tuo inventario mostra un numero di slot sbloccati e bloccati che indica quanti oggetti puoi trasportare nel tuo inventario senza sovraccaricarti. Non è necessario mettere gli oggetti negli slot specifici. Ciò che conta è la quantità totale di oggetti nel tuo zaino.\n\nLa capacità ""Mulo da soma"" e alcune modifiche o farmaci sbloccano gli slot nell'inventario, permettendoti di trasportare più oggetti senza sovraccaricarti.",バックパック（所持品）にあまりにも多くのアイテムを持っていると、動きが阻害され移動速度が低下します。ホットバーにあるアイテムや着用中の衣服はカウントされません。\n所持品にはアンロックしたスロットとロック中のスロットの数がシンボルと共に表示され、動きを阻害せずにあといくつのアイテムを所持品に入れることができるかがわかるようになっています。特定のスロットにアイテムを配置する必要はありません。バックパックに存在するアイテムの総数のみが重要となります。\n\n「ラバ」の特殊技能、または特定の改造パーツやドラックで所持品のスロットをアンロックすることができ、動きを阻害せずにより多くの荷物を持つことができるようになります。,백팩(인벤토리)에 너무 많은 아이템을 소지하고 있는 경우 방해를 받는 상태가 되어 이동 속도가 느려집니다. 단축 바의 아이템과 헤진 옷은 여기에 포함되지 않습니다.\n인벤토리에는 잠금 해제된 슬롯과 잠긴 슬롯의 수를 표시하여 방해 상태가 되기까지 인벤토리에 얼마나 많은 아이템을 더 소지할 수 있는지 알려줍니다. 특정 슬롯에 아이템을 배치할 필요는 없습니다. 백팩에 있는 총 아이템의 수가 중요하기 때문입니다.\n\n짐 나르는 노새 특성이나 특정 개조 또는 약물로 더 많은 인벤토리 슬롯을 잠금 해제하여 방해받지 않고 더 많은 아이템을 소지할 수 있습니다.,"Jeśli w twoim plecaku (ekwipunku) znajduje się zbyt wiele przedmiotów, twoja szybkość ruchu spadnie z uwagi na przeciążenie. Przedmioty na pasku skrótów i założone ubrania nie liczą się do limitu.\nW ekwipunku znajdziesz liczbę odblokowanych i zablokowanych miejsc, dzięki czemu dowiesz się, ile przedmiotów możesz nosić bez przeciążenia. Nie musisz umieszczać przedmiotów na konkretnych miejscach. Liczy się wyłącznie łączna liczba przedmiotów w plecaku.\n\nProfit Muł pociągowy oraz niektóre modyfikacje lub dobra konsumpcyjne odblokowują dodatkowe miejsca w ekwipunku, dzięki czemu możesz unieść więcej przedmiotów bez przeciążenia.","Ao carregar itens em excesso na sua mochila (inventário), você pode ficar sobrecarregado, diminuindo sua velocidade de movimento. Os itens na barra de acesso rápido e os trajes que você estiver vestindo não contam.\nSeu inventário mostra um número de espaços bloqueados e desbloqueados que simboliza a quantidade de itens que você pode carregar sem ficar sobrecarregado. Não é preciso colocar os itens em espaços específicos. Só importa a quantidade total de itens na mochila.\n\nA vantagem Burro de Carga, assim como algumas modificações e drogas, desbloqueia mais espaços no inventário, permitindo que você carregue mais itens sem ficar sobrecarregado.","Если у вас в рюкзаке (инвентаре) слишком много вещей, вы можете оказаться перегруженным, что снизит скорость передвижения. Предметы, находящиеся на панели быстрого доступа, и одежда на вас не учитываются.\nВаш инвентарь отображает количество открытых и закрытых слотов, показывая тем самым, сколько вы можете нести вещей без перегрузки. Вещи не обязательно помещать в какой-то определенный слот. Имеет значение только общее количество предметов.\n\nУмение «Вьючный мул», некоторые модификации и препараты открывают большее число слотов в инвентаре, позволяя переносить большее количество предметов без перегрузки.","Sırt çantanda (envanterin) çok fazla öğe taşırsan yükün ağır gelebilir ve hareket hızın düşebilir. Çok kullanılanlar çubuğundaki öğeler ve giydiğin kıyafetler sayılmaz.\nEnvanterin, yükün ağır gelmeden taşıyabileceğin öğe sayısını kilitli ve kilidi açılmış yuva simgeleriyle gösterir. Öğelerin belirli yuvalara yerleştirilmesi gerekmez. Ağırlığı belirleyen sadece sırt çantandaki toplam öğelerin sayısıdır.\n\nYük Katırı avantajı ve bazı modlar ya da uyuşturucular daha fazla envanter yuvasının kilidini açabilir ve bu sayede yükün ağır gelmeden daha fazla öğe taşımanı sağlayabilir.",如果你的背包（物品栏）中携带了太多物品，你可能会变得沉重，从而降低你的移动速度。快捷栏里的物品和穿过的衣服不计算在内。\n物品栏有一些未解锁和已解锁的格子，代表可在物品栏中携带的物品数量，不影响负重。不必将物品放置在特定的格子上。背包里的物品总量才会影响负重。\n\n驮骡技能，以及某些模组或药物可解锁更多的物品栏格子，让你携带更多物品而不影响负重。,如果你的背包（物品欄）中有太多物品，你會承受負重，移動速度會變慢。快捷欄裏的物品和穿著的衣物不計數。\n你的物品欄顯示未解鎖和解鎖空間，表示你可以在物品欄中攜帶多少物品而不會負重。不需要把物品放在特定空間。只與你背包裏的物品總量有關。\n\n馱騾和某些模組或藥品可解鎖更多物品欄空間，你可以攜帶更多物品而不會負重。,"Si llevas muchos objetos en la mochila (inventario), puede que vayas sobrecargado, lo que reduce tu velocidad de movimiento. Los objetos en la barra de acceso rápido y la ropa que llevas puesta no cuenta.\nEl inventario muestra un número simbólico de ranuras desbloqueadas y bloqueadas de los objetos que puedes llevar en el inventario sin estar sobrecargado. No es necesario colocar objetos en ranuras específicas. Solo cuenta el número total de objetos en la mochila.\n\nEl beneficio de mula de carga y algunas modificaciones o drogas pueden desbloquear más ranuras del inventario, lo que te permite llevar más cosas sin estar sobrecargado."
encumbranceTip_title,Journal Tip,,,,Cucumbered,,Überbelastung,Sobrecarga,Encombrement,Sovraccarico,動作阻害,방해,Przeciążenie,Sobrecarga,Перегрузка,Ağır Yük,沉重,負重,Sobrecarga
perkFiremansAlmanacCompleteDesc,progression,perk  book,,,Sprint longer and never cucumbered in the burnt forest.,,Sprinte länger und werde im verbrannten Wald nie überbelastet.,Corre más y no te desbordes nunca más en el bosque quemado,Sprintez plus longtemps et ne souffrez jamais d'encombrement dans les forêts brûlées.,Scatta per più tempo senza rischiare di sovraccaricarti nella foresta bruciata,燃え盛る森林でも長くダッシュすることができ、装備の負荷を受けない。,더 오래 전력 질주하며 불타는 숲에서도 방해받지 않습니다,Możesz biec sprintem dłużej i nigdy nie czujesz przeciążenia w spalonym lesie.,Corra por mais tempo e nunca fique sobrecarregado na floresta queimada.,Более продолжительный бег и никакой перегрузки в сгоревшем лесу,Daha uzun süre depar at. Yanmış ormandayken yükün ağır asla ağır gelmez,在焚毁的森林中可冲刺更久时间，并不受负重影响。,衝刺的時間更長，而且從不在燒焦的森林裏受阻,Corre más y no te desbordes nunca más en el bosque quemado
perkNightStalkerThiefAdrenalineDesc,progression,perk  book,,,Never cucumbered at night.,,Nachts nie überbelastet.,Nunca te veas sobrecargado de noche.,Ne souffrez jamais d'encombrement de nuit.,Mai in sovraccarico di notte.,夜ならば負荷にはならない。,밤에 절대 방해받지 않습니다.,Brak przeciążenia nocą.,Nunca fique sobrecarregado à noite.,Никакой перегрузки ночью.,Gece yükün asla ağır gelmez.,夜间负重永远不会超限。,在晚上行動從來都是暢通無阻。,Nunca te veas sobrecargado de noche.
